ym,cases
2020-01,10.0
2020-02,29.0
2020-03,283.0
2020-04,107.0
2020-05,13.0
2020-06,5.0
2020-07,20.0
2020-08,21.0
2020-09,26.0
2020-10,41.0
2020-11,120.0
2020-12,124.0
2021-01,112.0
2021-02,44.0
2021-03,75.0
2021-04,98.0
2021-05,7383.0
2021-06,6293.0
2021-07,870.0
2021-08,321.0
2021-09,228.0
2021-10,189.0
2021-11,189.0
2021-12,428.0
2022-01,1761.0
2022-02,1699.0
2022-03,2905.0
2022-04,92489.0
2022-05,1917100.0
2022-06,1734300.0
2022-07,820902.0
2022-08,719844.0
2022-09,1153371.0
2022-10,1251326.0
2022-11,600640.0
2022-12,533994.0
2023-01,690463.0
2023-02,447497.0
2023-03,221162.0
2023-04,
2023-05,
2023-06,
2023-07,
2023-08,
2023-09,
2023-10,
2023-11,
